board,tempP1,,,,,
15,4,865,773.773,-0.328883,-1.75267,43317.5
15,5,895,813.03,-0.254189,-1.42087,43724.3
15,6,880,836.219,-0.321965,-1.23639,43995.8
15,7,850,804.334,-0.325611,-1.52374,43465.3
15,8,865,780.277,-0.284866,-0.598678,44272.3
15,9,880,814.596,-0.301201,-1.31835,43634.5
15,10,865,805.877,-0.342988,-1.28705,43736.4
15,11,850,775.27,-0.303606,-1.06062,43611.7
15,12,820,743.341,-0.383666,-2.35747,42838.4
15,13,880,824.439,-0.368845,-1.82635,43461
15,14,805,733.314,-0.345424,-2.26111,43048.8
15,15,745,656.476,-0.387495,-2.19855,42973.5
15,16,820,709.866,-0.395784,-1.80758,43708.5
15,17,880,800.45,-0.367927,-1.81358,43448.8
15,18,865,795.405,-0.354449,-1.40206,43548.4
15,19,850,767.877,-0.341146,-1.07988,43596.3
15,20,865,762.42,-0.318192,-1.81624,43338
15,21,925,837.669,-0.276757,-1.84013,43074.3
15,22,895,832.452,-0.314192,-1.55342,43187.2
15,23,865,826.725,-0.285244,-1.14781,43490.9
15,24,850,740.209,-0.31391,-1.914,43480.3
15,25,895,803.474,-0.279131,-0.891296,43985.3
15,26,925,866.662,-0.360448,-1.43182,43215.6
15,27,850,808.002,-0.313292,-1.62666,43366.5
15,28,805,686.213,-0.325321,0.318392,44527.6
15,29,760,693.988,-0.37107,-0.97467,43580.7
15,30,775,719.766,-0.373239,-1.16631,43737.1
15,31,775,719.122,-0.348167,0.490702,44660
16,0,880,830.437,-0.363639,0.326214,44509.8
16,1,880,826.032,-0.342385,0.0225408,44378.3
16,2,895,848.224,-0.346516,0.511862,44824.6
16,3,925,871.011,-0.34069,1.01899,45201.1
16,4,895,820.832,-0.338223,-1.41127,43264.8
16,5,925,852.518,-0.284167,-1.01432,43853.3
16,6,925,846.957,-0.312388,-1.67189,43753
16,7,895,830.806,-0.351507,-0.721818,43845.1
16,8,925,856.862,-0.343445,-0.663504,43851.7
16,9,925,861.892,-0.3596,-1.29479,43649.5
16,10,895,825.682,-0.358669,-0.906457,43733
16,11,880,812.875,-0.387044,-0.873387,43797.4
16,12,895,829.36,-0.397381,-2.27125,42717.5
16,13,895,836.184,-0.354101,-1.78821,43434.5
16,14,850,787.424,-0.356276,-1.81003,43273.2
16,15,835,761.924,-0.359597,-1.83649,43172.6
16,16,865,792.861,-0.348047,-1.78509,43493.7
16,17,880,795.022,-0.297283,-1.61031,43330.7
16,18,850,780.613,-0.379979,-1.12512,43348.3
16,19,850,753.088,-0.320696,-1.56397,42933.9
16,20,880,811.303,-0.364362,-1.48076,43269.5
16,21,970,895.152,-0.305593,-1.37125,43153.8
16,22,925,850.559,-0.316683,-1.01105,43411.8
16,23,880,823.744,-0.344041,-0.599792,43716.6
16,24,910,838.146,-0.317387,-0.975371,43681.4
